time,voltage,current,soc,power
0,2.7376,2.7376e-08,0.1,7.4943e-08
3.155444e-30,2.7376,2.7376e-08,0.1,7.4943e-08
2.213594e-05,2.7376,2.7376e-08,0.1,7.4943e-08
2.213594e-05,2.7376,1.3688e-08,0.1,3.7471e-08
6.640783e-05,2.7376,1.3688e-08,0.1,3.7471e-08
0.0001549516,2.7376,1.3688e-08,0.1,3.7471e-08
0.0002178124,2.7376,1.3688e-08,0.1,3.7471e-08
0.0003330819,2.7376,1.3688e-08,0.1,3.7471e-08
0.0004953296,2.7376,1.3688e-08,0.1,3.7471e-08
0.0006575772,2.7376,1.3688e-08,0.1,3.7471e-08
0.0008198249,2.7376,1.3688e-08,0.1,3.7471e-08
0.0009820726,2.7376,1.3688e-08,0.1,3.7471e-08
0.001184909,2.7376,1.3688e-08,0.1,3.7471e-08
0.001387746,2.7376,1.3688e-08,0.1,3.7471e-08
0.001590582,2.7376,1.3688e-08,0.1,3.7471e-08
0.001793419,2.7376,1.3688e-08,0.1,3.7471e-08
0.002053618,2.7376,1.3688e-08,0.1,3.7471e-08
0.002313817,2.7376,1.3688e-08,0.1,3.7471e-08
0.002574017,2.7376,1.3688e-08,0.1,3.7471e-08
0.002901256,2.7376,1.3688e-08,0.1,3.7471e-08
0.003228496,2.7376,1.3688e-08,0.1,3.7471e-08
0.003630748,2.7376,1.3688e-08,0.1,3.7471e-08
0.004032999,2.7376,1.3688e-08,0.1,3.7471e-08
0.004537746,2.7376,1.3688e-08,0.1,3.7471e-08
0.005042493,2.7376,1.3688e-08,0.1,3.7471e-08
0.005714039,2.7376,1.3688e-08,0.1,3.7471e-08
0.006385585,2.7376,1.3688e-08,0.1,3.7471e-08
0.007355744,2.7376,1.3688e-08,0.1,3.7471e-08
0.00853188,2.7376,1.3688e-08,0.1,3.7471e-08
0.01014659,2.7376,1.3688e-08,0.1,3.7471e-08
0.0123658,2.7376,1.3688e-08,0.1,3.7471e-08
0.01593344,2.7376,1.3688e-08,0.1,3.7471e-08
0.02260558,2.7376,1.3688e-08,0.1,3.7471e-08
0.04132471,2.7376,1.3688e-08,0.1,3.7471e-08
0.1244757,2.7376,1.3688e-08,0.1,3.7471e-08
0.4318545,2.7376,1.3688e-08,0.1,3.7471e-08
0.5,2.7376,1.3688e-08,0.1,3.7471e-08
0.5,2.7376,1.3688e-08,0.1,3.7471e-08
0.8722157,2.7376,1.3688e-08,0.1,3.7471e-08
1.616647,2.7376,1.3688e-08,0.1,3.7471e-08
2.361079,2.7376,1.3688e-08,0.1,3.7471e-08
3.701648,2.7376,1.3688e-08,0.1,3.7471e-08
6.101648,2.7376,1.3688e-08,0.1,3.7471e-08
8.501648,2.7376,1.3688e-08,0.1,3.7471e-08
10.90165,2.7376,1.3688e-08,0.1,3.7471e-08
13.30165,2.7376,1.3688e-08,0.1,3.7471e-08
15.70165,2.7376,1.3688e-08,0.1,3.7471e-08
18.10165,2.7376,1.3688e-08,0.1,3.7471e-08
20.50165,2.7376,1.3688e-08,0.1,3.7471e-08
22.90165,2.7376,1.3688e-08,0.1,3.7471e-08
25.30165,2.7376,1.3688e-08,0.1,3.7471e-08
27.70165,2.7376,1.3688e-08,0.1,3.7471e-08
30.10165,2.7376,1.3688e-08,0.1,3.7471e-08
32.50165,2.7376,1.3688e-08,0.1,3.7471e-08
34.90165,2.7376,1.3688e-08,0.1,3.7471e-08
37.30165,2.7376,1.3688e-08,0.1,3.7471e-08
39.70165,2.7376,1.3688e-08,0.1,3.7471e-08
42.10165,2.7376,1.3688e-08,0.1,3.7471e-08
44.50165,2.7376,1.3688e-08,0.1,3.7471e-08
46.90165,2.7376,1.3688e-08,0.1,3.7471e-08
49.30165,2.7376,1.3688e-08,0.1,3.7471e-08
51.70165,2.7376,1.3688e-08,0.1,3.7471e-08
54.10165,2.7376,1.3688e-08,0.1,3.7471e-08
56.50165,2.7376,1.3688e-08,0.1,3.7471e-08
58.90165,2.7376,1.3688e-08,0.1,3.7471e-08
61.30165,2.7376,1.3688e-08,0.1,3.7471e-08
63.70165,2.7376,1.3688e-08,0.1,3.7471e-08
66.10165,2.7376,1.3688e-08,0.1,3.7471e-08
68.50165,2.7376,1.3688e-08,0.1,3.7471e-08
70.90165,2.7376,1.3688e-08,0.1,3.7471e-08
73.30165,2.7376,1.3688e-08,0.1,3.7471e-08
75.70165,2.7376,1.3688e-08,0.1,3.7471e-08
78.10165,2.7376,1.3688e-08,0.1,3.7471e-08
80.50165,2.7376,1.3688e-08,0.1,3.7471e-08
82.90165,2.7376,1.3688e-08,0.1,3.7471e-08
85.30165,2.7376,1.3688e-08,0.1,3.7471e-08
87.70165,2.7376,1.3688e-08,0.1,3.7471e-08
90.10165,2.7376,1.3688e-08,0.1,3.7471e-08
92.50165,2.7376,1.3688e-08,0.1,3.7471e-08
94.90165,2.7376,1.3688e-08,0.1,3.7471e-08
97.30165,2.7376,1.3688e-08,0.1,3.7471e-08
99.70165,2.7376,1.3688e-08,0.1,3.7471e-08
102.1016,2.7376,1.3688e-08,0.1,3.7471e-08
104.5016,2.7376,1.3688e-08,0.1,3.7471e-08
106.9016,2.7376,1.3688e-08,0.1,3.7471e-08
109.3016,2.7376,1.3688e-08,0.1,3.7471e-08
111.7016,2.7376,1.3688e-08,0.1,3.7471e-08
114.1016,2.7376,1.3688e-08,0.1,3.7471e-08
116.5016,2.7376,1.3688e-08,0.1,3.7471e-08
118.9016,2.7376,1.3688e-08,0.1,3.7471e-08
120,2.7376,1.3688e-08,0.1,3.7471e-08
